country,year,gdp_usd,gdp_growth_pct,population,fdi_net_inflows_pct_gdp,manufacturing_pct_gdp,access_to_electricity_pct,electric_power_consumption_kwh_pc,gross_capital_formation_pct_gdp,inflation_pct,total_imports_usd,wage_usd,lpi_score,industry_pct_gdp,"cobalt,_mine",graphite,lithium_minerals,manganese_ore,"nickel,_mine",political_stability_est,control_of_corruption_est,rule_of_law_est,total_disorder_events,acled_covered
Armenia,2023,24085749592.33589,8.29999999959539,2990899.9999999995,2.40957864494139,10.5577205542053,100.0,2403.67775831874,20.8720646766827,1.98041877615554,3128664.6399999997,387.8743255646024,2.5,23.3745392421065,0.0,0.0,0.0,0.0,0.0,-0.829278230667114,0.0583996474742889,-0.122017979621887,421,True
Australia,2010,1148838233480.72,2.21998026536549,22031750.0,3.0948394339821,7.98782815899755,100.0,10810.7163525367,27.0335852649882,2.91834002677376,9607620.0,4261.0526789948535,3.84,25.1730784269529,4838.0,0.0,326865.0,6474000.0,168475.0,0.888859868049622,2.02361083030701,1.75771832466125,0,False
Australia,2011,1398610616772.97,2.40708018291988,22340024.0,4.68881515477357,7.36479765734101,100.0,10697.5265559249,26.0235915460689,3.3038501560874,8409617.0,5066.448104906787,3.785,26.5218436455586,4275.0,0.0,401536.0,6960769.0,215014.0,0.935710072517395,2.03790903091431,1.73315370082855,0,False
Australia,2012,1547532281116.4,3.91670942454073,22733465.0,3.72019933653419,7.0463332040636,100.0,10469.7194202468,27.4093146172083,1.76278015613196,96841780.0,5301.967835453179,3.73,26.3790215214115,5411.0,0.0,465530.0,7178975.0,304152.0,0.997997224330902,1.97750723361969,1.75977957248688,0,False
Australia,2013,1577123329410.88,2.60219339436559,23128128.999999996,3.45392766613526,6.60397548643017,100.0,10263.7355576839,27.844927797376,2.4498886414254,113037962.0,4853.710003849318,3.770388,25.1864505347463,6837.0,0.0,416398.0,7425985.0,292619.0,1.03107297420502,1.77783310413361,1.77010083198547,0,False
Australia,2014,1468265356427.76,2.59528411594042,23475685.999999993,4.3047066438758,6.36290253499428,100.0,10146.6683444309,26.8750785483699,2.48792270531404,127989982.99999999,4773.196512167162,3.810776,25.5651574750224,6252.0,0.0,456922.0,7587207.0,266181.0,1.03219199180603,1.84927213191986,1.91863083839417,0,False
Australia,2015,1351296372254.31,2.19016928695221,23815994.999999993,3.47020901785018,6.29227941742372,100.0,10091.7051754504,26.2178411676154,1.50836672165921,127367883.99999999,4061.51645195638,3.8020804999999998,23.6809068044195,6777.0,0.0,451750.0,6281497.0,225227.0,0.873180687427521,1.84130811691284,1.79032063484192,0,False
Australia,2016,1206836962281.84,2.7593859723839,24190906.999999993,3.56056595221134,6.07824048774544,100.0,10139.0989597868,25.3836447487626,1.27699094497324,164908582.0,4343.792960946331,3.793385,22.3199755837758,6020.0,0.0,536719.0,5327566.0,203135.0,1.0334244966507,1.77225196361542,1.7166656255722,0,False
Australia,2017,1325582658156.54,2.27959179820343,24592587.999999993,3.63608951454838,5.79305950257587,100.0,10033.9988617709,24.0704233766012,1.94864740944527,284437855.323,4526.768682563951,3.7716925,23.4740606091639,5221.0,0.0,1754131.0,6172266.0,185466.0,0.87606406211853,1.75297474861145,1.64595770835876,0,False
Australia,2018,1427809041019.44,2.87846971467883,24963257.999999993,4.25033304779982,5.76468001596052,100.0,9999.89664810579,24.4775236218442,1.91140094445691,322388858.068,4329.453386467493,3.75,24.1240577727471,5616.0,0.0,2020643.0,7212118.0,160022.0,0.971185445785522,1.7674548625946,1.67466557025909,0,False
Australia,2019,1392723834562.64,2.17154505737176,25334825.999999993,2.78196787472132,5.58629582518324,100.0,9988.77987162809,23.4161942650382,1.61076787290379,401659760.91599995,4163.427009832064,3.75,25.2720792022262,5693.0,0.0,1632480.0,6649432.0,158751.0,0.917978942394257,1.78807365894318,1.69461703300476,0,False
Australia,2020,1328414058378.38,-0.119590735829973,25649247.999999996,1.35325605506287,5.60852173149521,100.0,9903.01937896971,22.8121532268605,0.846905537459305,352767676.425,4074.9808285381578,3.75,25.3864557192621,5626.0,0.0,1518366.0,6425848.0,169344.0,0.862161874771118,1.63298058509827,1.61500358581543,0,False
Australia,2021,1556735770437.26,2.11116814768786,25685411.999999996,2.0246819461122,5.51269475535305,100.0,9848.54749458564,22.6389404273231,2.86391042204994,756686476.567,4607.796887639068,3.75,25.4208652512055,5232.0,0.0,2021498.0,6188587.0,150876.0,0.83507913351059,1.70738875865936,1.63855969905853,715,True
Austria,2010,389827789217.634,1.8089826696085,8363404.0,-5.64539670207833,17.0146236665127,100.0,8395.38541962101,21.8611554230227,1.81353438995062,38647231.0,5000.0013913001285,3.76,26.0396419655738,0.0,420.0,0.0,0.0,0.0,1.15264821052551,1.59612202644348,1.80120265483856,0,False
Austria,2011,428954737064.057,2.92746790789693,8391643.0,5.35812778038962,17.1446473129533,100.0,8406.10116517111,22.7073592505649,3.2865791487538,57251600.0,5137.013644805494,3.825,25.8570853999006,0.0,27450.0,0.0,0.0,0.0,1.19352161884308,1.47028934955597,1.79896306991577,0,False
Austria,2012,406750487603.59,0.628246179413949,8429991.0,1.2830027920872,17.2564830895639,100.0,8526.93674287434,22.9527434287837,2.48567562177015,110120172.737,4752.384475296095,3.89,26.009804939464,0.0,18840.0,0.0,0.0,0.0,1.34056687355042,1.42725443840027,1.85712373256683,0,False
Austria,2013,426580502769.41705,-0.250726545926739,8479823.0,-0.302633479129545,17.1063898788247,100.0,8501.23876406383,23.3121101516353,2.00015616900597,101625948.678,5243.9000943800565,3.7692935,25.9697730865151,0.0,17190.0,0.0,0.0,0.0,1.36410057544708,1.53727698326111,1.83409059047699,0,False
Austria,2014,438556021078.034,0.755799076892799,8546356.0,0.389557041234778,17.1867790689422,100.0,8342.73695128076,22.9671788352856,1.60581182954474,146802757.52899998,5803.1969810626315,3.648587,25.7857017006482,0.0,23240.0,0.0,0.0,0.0,1.27070045471191,1.46650183200836,1.93843615055084,0,False
Austria,2015,379546097300.633,1.30352309798889,8642699.0,-1.80409511056007,17.242928730216,100.0,8318.46625689498,22.8959621968365,0.89656333526032,186612129.826,4652.815534686716,3.8732860000000002,25.5152402246539,0.0,21840.0,0.0,0.0,0.0,1.12933051586151,1.47204375267029,1.81477534770966,0,False
Austria,2016,393687359770.2731,2.11721967096108,8736668.0,-7.23989904197038,17.6682251530651,100.0,8255.77897660756,23.3219102437796,0.891591752655362,251797911.909,4892.16087046824,4.097985,25.9124691845374,0.0,23200.0,0.0,0.0,0.0,0.8921759724617,1.49688053131104,1.76146185398102,0,False
Austria,2017,414926138132.69104,2.27225012037459,8797566.0,3.38180275607348,17.4427051605451,100.0,8458.13489776604,23.8459451205616,2.08126911385587,329616533.63199997,5071.494650747113,4.0639925,25.8023213025638,0.0,24400.0,0.0,0.0,0.0,1.02962481975555,1.50082015991211,1.8003545999527,0,False
Austria,2018,452582294972.7751,2.48422086689928,8840521.0,-6.15119207172195,17.3211161045372,100.0,8396.45084265961,24.3135937640992,1.9983798142954,624490622.103,5189.603031245394,4.03,25.7190926354333,0.0,25000.0,0.0,0.0,0.0,0.884860396385193,1.56858718395233,1.85348308086395,0,False
Austria,2019,442983642371.84204,1.7549764558533,8879920.0,-2.85255617561831,17.1022858668807,100.0,8339.93999945946,25.0801117201002,1.53089564152644,730847060.53,5395.409272180287,4.0225,25.5363771006496,0.0,20000.0,0.0,0.0,0.0,0.892189025878906,1.52132439613342,1.86229813098907,0,False
Austria,2020,434397601557.69604,-6.31825528670208,8916864.0,-2.76332070661681,16.5973264696294,100.0,8025.46724947246,25.134256704245,1.38191063351862,592768672.112,5410.769146059066,4.015000000000001,25.6544867826211,0.0,16500.0,0.0,0.0,0.0,0.887600898742676,1.47770941257477,1.77060890197754,357,True
Austria,2021,480467037338.7831,4.79532910551458,8955797.0,3.95409323796325,16.9780965394204,100.0,8381.61025757953,25.875777004151,2.7666666666667,561517678.399,5889.662353585177,4.0075,25.7280321427311,0.0,17000.0,0.0,0.0,0.0,0.899554431438446,1.24272727966309,1.75175452232361,587,True
Austria,2022,471773629830.38104,5.27789421203715,9041851.0,3.03143362679607,16.1507615124566,100.0,8260.47675415134,25.4741768856096,8.5468699318845,975963798.042,5184.962974684845,4.0,25.2055400552551,0.0,17000.0,0.0,0.0,0.0,0.648710012435913,1.25858676433563,1.70427322387695,310,True
Austria,2023,511685203845.00104,-0.954962366849259,9131761.0,0.571627955399011,15.872011478439,100.0,7772.32343246828,24.9012402549934,7.81413417002832,1328793833.7800002,5526.3077289334315,4.0,25.2446158376037,0.0,0.0,0.0,0.0,0.0,0.727989196777344,1.1336532831192,1.74656546115875,439,True
Azerbaijan,2010,52909294791.9262,5.04894451349574,9054332.0,6.337255132933,4.73778405745908,99.9,1603.43137406492,18.1667255386789,5.72687224669605,299345.0,399.3023110944995,2.64,59.7713411044389,0.0,0.0,0.0,0.0,0.0,-0.238546922802925,-1.24537324905396,-0.891145050525665,0,False
Azerbaijan,2011,65952796427.9473,0.10000013782458,9173082.0,6.80050011965746,3.98832610114819,99.9,1705.4246326371,20.1776045466764,7.8583333333334,1805310.0,448.9123846984263,2.56,61.7328443608156,0.0,0.0,0.0,0.0,0.0,-0.532135963439941,-1.1953147649765,-0.938726484775543,0,False
Azerbaijan,2012,69679944504.1972,2.1652394748416,9295784.000000002,7.59651867931835,4.24121862424352,100.0,2052.65096521176,22.4551866242143,1.06621339720303,2993834.0,507.6081724061721,2.48,59.4557912599989,0.0,0.0,0.0,0.0,0.0,-0.715751826763153,-1.14269411563873,-0.879532694816589,0,False
Azerbaijan,2013,74160560123.6902,5.80980084268208,9416801.000000002,3.53211598676051,4.21573682582242,100.0,2092.53652062946,25.7938881440995,2.41571745279419,1806566.0,559.9451881464297,2.464188,57.0544154549517,0.0,0.0,0.0,0.0,0.0,-0.412859916687012,-0.970754623413086,-0.756260693073273,0,False
Azerbaijan,2014,75239785452.1022,2.75050681535518,9535079.000000002,5.88846176710651,4.70701069744349,100.0,2202.39391828846,27.4303937533572,1.37344181533176,2265292.0,631.6078013890527,2.448376,53.5868546669355,0.0,0.0,0.0,0.0,0.0,-0.559909522533417,-1.02282762527466,-0.697012007236481,0,False
Azerbaijan,2015,53076235354.746,1.09397591627469,9649341.000000002,7.62606837682972,4.99062155204119,100.0,2244.92014532391,27.8253034203751,4.02768573742726,2037175.29,515.2436485086886,2.448376,44.8913203383597,0.0,0.0,0.0,0.0,0.0,-0.733916640281677,-0.952573180198669,-0.716544568538666,0,False
Azerbaijan,2016,37866996882.9157,-3.09999988037266,9757812.000000002,11.8828171505465,4.89266067799527,100.0,2215.66064195539,25.0345882181606,12.4433748584372,2729557.52,340.2222601277222,2.448376,47.5578070076723,0.0,0.0,0.0,0.0,0.0,-0.808908820152283,-0.852637350559235,-0.539356291294098,0,False
Azerbaijan,2017,40866627351.9817,0.199999938958655,9854033.000000004,7.01669598350389,4.69946458376577,100.0,2120.55307710051,23.8172078171339,12.9359184187335,1546150.44,321.87691617457693,2.448376,49.7017251037138,0.0,0.0,0.0,0.0,0.0,-0.751901030540466,-0.906532645225525,-0.58492249250412,0,False
Azerbaijan,2018,47112470051.77011,1.49999999999999,9939771.000000006,2.97797589143235,4.61981221595166,100.0,2182.74646367607,20.6940768116666,2.26854690373999,2114874.23,325.93798100018563,2.448376,52.250536882585,0.0,0.0,0.0,0.0,0.0,-0.711399376392365,-0.853233695030212,-0.619800806045532,8427,True
Azerbaijan,2019,48174235294.117615,2.50000006743734,10024283.000000006,3.12183056112494,5.00365096304835,100.0,2243.85125599507,21.1295517984961,2.61057182799215,2022319.8,371.4117647058824,2.448376,48.8236328425495,0.0,0.0,0.0,0.0,0.0,-0.693411469459534,-0.849681973457336,-0.610428035259247,4448,True
Azerbaijan,2020,42693000000.000015,-4.30000010230737,10093121.000000006,1.18790387182911,6.10156507265966,100.0,2257.18090568814,22.6664792823179,2.75980947008127,1992875.35,379.47058823529414,2.448376,41.9563201571824,0.0,0.0,0.0,0.0,0.0,-0.852253794670105,-1.07807588577271,-0.729642748832703,4140,True
Azerbaijan,2021,54825411764.70592,5.61645102853028,10137750.000000006,-3.11473447263613,6.41909290668132,100.0,2389.09028137407,16.2271252489185,6.65029912708779,3460861.45,403.0588235294118,2.448376,48.8181736249399,0.0,0.0,0.0,0.0,0.0,-0.837823569774628,-0.847890377044678,-0.606765031814575,326,True
Azerbaijan,2022,78807470588.23532,4.71480236521231,10141756.000000006,-5.67773710614177,5.28338982494195,100.0,2365.86247983091,12.0116262492284,13.8522590144267,3927164.88,450.7647058823529,2.448376,56.1467373576856,0.0,0.0,0.0,0.0,0.0,-0.922807276248932,-1.04090738296509,-0.625552177429199,507,True
Belgium,2010,481556503720.001,2.71031141346458,10895586.0,26.0596407490289,13.1286435724464,100.0,8350.44576767142,21.9382428923496,2.18929920422457,61036530.264,6239.439091583495,3.94,20.6595926026257,0.0,0.0,0.0,0.0,0.0,0.810646176338196,1.47382998466492,1.41785252094269,0,False
Belgium,2011,527196649048.639,1.93115497859051,11038264.0,31.03668843113,12.9499394580106,100.0,8077.35709165862,22.7900061624511,3.53208210722742,87966668.968,6721.575138025351,3.96,20.7514599517248,0.0,0.0,0.0,0.0,0.0,0.95453542470932,1.51992893218994,1.43484890460968,0,False
Belgium,2012,498414364944.961,0.215803673220449,11106932.0,2.36956900950956,12.6215764552248,100.0,8001.03935092067,22.8236232419409,2.83966343445899,115938765.559,6468.705396703127,3.98,19.9956487544689,0.0,0.0,0.0,0.0,0.0,0.923599720001221,1.55911040306091,1.44880962371826,0,False
Belgium,2013,524097026598.55,0.30549447856238,11159407.0,-5.65561784857252,12.6643780300003,100.0,7991.46406256175,22.1558511394486,1.1130959402754,113310222.225,6995.853802860467,4.01233,19.9151935690442,0.0,0.0,0.0,0.0,0.0,0.940082728862762,1.60431730747223,1.45676612854004,0,False
Belgium,2014,537987419164.351,1.76554038203088,11209057.0,-2.82643623555084,12.5837894914118,100.0,7700.55857508798,22.8409196700006,0.340002833356922,107525987.112,7005.1540801680985,4.04466,19.6190570732838,0.0,0.0,0.0,0.0,0.0,0.701269447803497,1.51272034645081,1.54851686954498,0,False
Belgium,2015,461044767544.531,1.47416438588013,11274195.999999998,-4.23261410354123,12.5677314710087,100.0,7700.14997078284,23.1519860999475,0.561429152790065,119062104.63399999,5950.932302563278,4.076599,19.4767746872729,0.0,0.0,0.0,0.0,0.0,0.577092111110687,1.47445356845856,1.45622563362122,0,False
Belgium,2016,474271566739.729,1.19350263995111,11331421.999999998,12.1319420227113,12.2484083375363,100.0,7754.10182411351,23.5198221753782,1.97385264653181,189970395.62599996,6007.922528920803,4.108538,19.0981057822176,0.0,0.0,0.0,0.0,0.0,0.429606109857559,1.53124380111694,1.39380347728729,0,False
Belgium,2017,500908767351.53,1.47446765653092,11375157.999999998,-7.44423790176632,12.4458285747277,100.0,7801.64987598414,23.5041514887444,2.12597086002607,233754173.61899996,6450.001662509481,4.074269,19.1545604130921,0.0,0.0,0.0,0.0,0.0,0.41760727763176,1.40419495105743,1.32062590122223,0,False
Belgium,2018,542638913427.9211,1.87796857219402,11427053.999999998,-7.66649538713467,12.343919956787,100.0,7748.27877771471,23.7749835796852,2.05316499865186,436130581.96099997,6941.704932534773,4.04,18.9641251486969,0.0,0.0,0.0,0.0,0.0,0.393769443035126,1.42957329750061,1.33859252929688,0,False
Belgium,2019,536726344405.4891,2.44289006648609,11488980.0,-1.97252997818916,12.413251241175,100.0,7673.44011391786,24.2312098845978,1.43681956996429,844167471.6959999,7118.093590525351,4.03,19.2417105698694,0.0,0.0,0.0,0.0,0.0,0.458395332098007,1.44879794120789,1.3361576795578,0,False
Belgium,2020,529694473501.7911,-4.79298389726264,11538604.0,-5.74235227142936,12.0120090332978,100.0,7420.741711909,24.0338724949105,0.740791812220344,1120123507.655,7293.374465301063,4.02,19.0811705163268,0.0,0.0,0.0,0.0,0.0,0.521078526973724,1.44580173492432,1.32759404182434,809,True
Belgium,2021,598494036474.409,6.20255401586081,11586195.0,5.90607720952822,10.7453176059912,100.0,7680.00193333532,23.9125795022837,2.44024851144084,1331927356.722,7654.944845027009,4.01,17.9974949765149,0.0,0.0,0.0,0.0,0.0,0.662682592868805,1.45520210266113,1.29177582263947,850,True
Belgium,2022,593438820508.173,4.2334318336917,11680210.0,2.00105702528312,12.1617741732849,100.0,7282.40331295413,23.8517836064503,9.597511728725,2775135451.959,6916.0991162724,4.0,19.51856076442,0.0,0.0,0.0,0.0,0.0,0.581981599330902,1.49497354030609,1.34823083877563,546,True
Belgium,2023,644782756682.756,1.25170063203595,11787423.0,-0.430551198512578,11.2544325988403,100.0,6756.77796580304,24.448224663042,4.04901077613941,3853833101.9529996,7963.384494688376,4.0,18.5320111362915,0.0,0.0,0.0,0.0,0.0,0.403853088617325,1.3368444442749,1.29537487030029,712,True
Bolivia,2011,23963164696.592,5.204092443086,10348929.0,3.58442251378885,10.3384637671598,88.3,610.691212588278,18.9656256308952,9.88446419823883,817418.04,267.02796793265065,2.61,30.3691066361261,0.0,0.0,0.0,0.0,0.0,-0.417126506567001,-0.573696494102478,-0.984035789966583,0,False
Bolivia,2012,27084497481.9103,5.12227558091757,10515807.0,3.91355014614083,10.2142087811062,90.4,635.139081575004,18.3628772434261,4.51560291399376,1560960.87,320.44124457308243,2.61,29.3342196293346,0.0,0.0,0.0,0.0,0.0,-0.45806810259819,-0.727891862392426,-1.01876401901245,0,False
Bolivia,2013,30659338885.6729,6.79601142810841,10682608.000000002,5.70662211902913,9.92781122691066,89.5,666.691130106056,19.0600818282013,5.73640023719607,1603029.76,339.0070911722142,2.5453789999999996,28.5181929044884,0.0,0.0,0.0,0.0,0.0,-0.32859343290329,-0.58796888589859,-1.05095064640045,0,False
Bolivia,2014,32996188012.5599,5.46056957461593,10848888.000000004,1.9898248565868,9.73832797515295,90.0,695.278631321477,20.9820496067281,5.76660074579144,4635798.1899999995,355.4575976845152,2.480758,27.6254998764802,0.0,0.0,0.0,0.0,0.0,-0.333112090826035,-0.628802955150604,-1.05833506584167,0,False
Bolivia,2015,33000198248.129196,4.85718723245387,11014705.000000004,1.68072787965335,10.1911908657997,91.5,746.093517711096,21.3710596050816,4.05961041135645,4165617.75,361.1534008683069,2.36611,25.2024162637285,0.0,0.0,0.0,0.0,0.0,-0.270498692989349,-0.717874646186829,-1.16211700439453,0,False
Bolivia,2016,33941126200.060593,4.26392083754456,11180020.000000002,0.988080149283549,10.9842215186148,91.8,760.910982270157,20.6704841909623,3.62321431764138,1999962.39,391.3982633863965,2.251462,25.3263589602461,0.0,0.0,192.0,0.0,0.0,-0.25367596745491,-0.7748863697052,-1.23873949050903,0,False
Bolivia,2017,37508642165.33659,4.1952063010676,11344587.000000002,1.89949328113362,10.4935084393229,91.8,772.350725504595,21.2683553345557,2.8227580554717,1876396.97,417.27988422575976,2.3057309999999998,26.3699744223227,0.0,0.0,71.0,0.0,0.0,-0.280110895633698,-0.701330721378326,-1.24510812759399,0,False
Bolivia,2018,40287647930.47609,4.22362351118875,11508368.000000002,0.750524780940684,10.3431514961724,92.8,791.163438638737,20.1660892375308,2.27205987230155,4307131.640000001,419.9581765557163,2.36,26.2465894695308,0.0,0.0,273.0,550.0,0.0,-0.286620706319809,-0.688641130924225,-1.21190083026886,336,True
Bolivia,2019,40895322843.785095,2.21670577750359,11671386.000000002,-0.529735011404666,10.4895035463436,95.1,802.304027987764,18.9752599507414,1.83954504969026,7073005.93,414.40926193921854,2.37,25.2102745518532,0.0,0.0,475.0,3550.0,0.0,-0.728340268135071,-0.781365752220154,-1.18941926956177,625,True
Bolivia,2020,36629843805.02159,-8.73788443399127,11816299.0,-3.08351648276169,10.9578336602514,97.2,769.784176923756,15.5721386772855,0.940742153381849,2446105.86,420.92243125904486,2.38,23.4919320082359,0.0,0.0,227.0,4700.0,0.0,-0.453467190265656,-0.844824612140656,-1.21863114833832,780,True
Bolivia,2021,40406111695.17899,6.11137275205746,11937360.0,1.44427761109044,10.7268498817295,98.6,833.601399304369,16.6303111705085,0.737383721452275,4363074.54,397.1322720694646,2.3899999999999997,26.3623003913939,0.0,0.0,642.0,5100.0,0.0,-0.278774261474609,-0.883800148963928,-1.17760181427002,1002,True
Bolivia,2022,44008282877.960594,3.60568038279472,12077153.999999998,0.0141722868400141,10.285061919759,99.9,859.308409911805,16.8420540947493,1.74632872945969,9920739.0,411.8665701881331,2.4,26.2017588841709,0.0,0.0,733.0,420.0,0.0,-0.191908553242683,-0.889700353145599,-1.30140423774719,1196,True
Bolivia,2023,45135398008.81659,3.08196524087036,12244158.999999996,0.532051144470161,10.1857964276631,99.8,859.308409911805,17.4650893588928,2.57688800489192,8317122.0,417.4361794500723,2.4,24.2281365743265,0.0,0.0,0.0,0.0,0.0,-0.313183635473251,-0.838301062583923,-1.21933794021606,1298,True
